Driver;Track;Session;SessionStart;Kart;Lap;LapTime;Date
THIBROODJE;0;46;19:15;4;1;37.048;24/09/2025
THIBROODJE;0;46;19:15;4;2;35.582;24/09/2025
THIBROODJE;0;46;19:15;4;3;35.896;24/09/2025
THIBROODJE;0;46;19:15;4;4;35.635;24/09/2025
THIBROODJE;0;46;19:15;4;5;35.376;24/09/2025
THIBROODJE;0;46;19:15;4;6;35.218;24/09/2025
THIBROODJE;0;46;19:15;4;7;35.328;24/09/2025
THIBROODJE;0;46;19:15;4;8;35.126;24/09/2025
THIBROODJE;0;46;19:15;4;9;35.06;24/09/2025
THIBROODJE;0;46;19:15;4;10;35.311;24/09/2025
THIBROODJE;0;46;19:15;4;11;34.964;24/09/2025
THIBROODJE;0;46;19:15;4;12;34.741;24/09/2025
THIBROODJE;0;46;19:15;4;13;34.937;24/09/2025
THIBROODJE;0;46;19:15;4;14;34.811;24/09/2025
THIBROODJE;0;46;19:15;4;15;35.077;24/09/2025
THIBROODJE;0;46;19:15;4;16;34.915;24/09/2025
THIBROODJE;0;46;19:15;4;17;34.918;24/09/2025
THIBROODJE;0;46;19:15;4;18;35.093;24/09/2025
THIBROODJE;0;46;19:15;4;19;34.81;24/09/2025
THIBROODJE;0;46;19:15;4;20;34.863;24/09/2025
THIBROODJE;0;46;19:15;4;21;34.9;24/09/2025
JENZIE_;0;46;19:15;17;1;41.688;24/09/2025
JENZIE_;0;46;19:15;17;2;37.606;24/09/2025
JENZIE_;0;46;19:15;17;3;35.71;24/09/2025
JENZIE_;0;46;19:15;17;4;35.789;24/09/2025
JENZIE_;0;46;19:15;17;5;35.26;24/09/2025
JENZIE_;0;46;19:15;17;6;35.816;24/09/2025
JENZIE_;0;46;19:15;17;7;35.497;24/09/2025
JENZIE_;0;46;19:15;17;8;35.422;24/09/2025
JENZIE_;0;46;19:15;17;9;35.042;24/09/2025
JENZIE_;0;46;19:15;17;10;35.172;24/09/2025
JENZIE_;0;46;19:15;17;11;34.808;24/09/2025
JENZIE_;0;46;19:15;17;12;35.008;24/09/2025
JENZIE_;0;46;19:15;17;13;35.197;24/09/2025
JENZIE_;0;46;19:15;17;14;35.016;24/09/2025
JENZIE_;0;46;19:15;17;15;35.296;24/09/2025
JENZIE_;0;46;19:15;17;16;35.262;24/09/2025
JENZIE_;0;46;19:15;17;17;34.97;24/09/2025
JENZIE_;0;46;19:15;17;18;35.128;24/09/2025
JENZIE_;0;46;19:15;17;19;35.301;24/09/2025
JENZIE_;0;46;19:15;17;20;34.906;24/09/2025
JENZIE_;0;46;19:15;17;21;34.85;24/09/2025
TOEP;0;46;19:15;20;1;38.892;24/09/2025
TOEP;0;46;19:15;20;2;36.872;24/09/2025
TOEP;0;46;19:15;20;3;38.065;24/09/2025
TOEP;0;46;19:15;20;4;36.57;24/09/2025
TOEP;0;46;19:15;20;5;36.002;24/09/2025
TOEP;0;46;19:15;20;6;35.84;24/09/2025
TOEP;0;46;19:15;20;7;36.018;24/09/2025
TOEP;0;46;19:15;20;8;36.04;24/09/2025
TOEP;0;46;19:15;20;9;36.279;24/09/2025
TOEP;0;46;19:15;20;10;36.19;24/09/2025
TOEP;0;46;19:15;20;11;36.115;24/09/2025
TOEP;0;46;19:15;20;12;35.933;24/09/2025
TOEP;0;46;19:15;20;13;36.081;24/09/2025
TOEP;0;46;19:15;20;14;36.14;24/09/2025
TOEP;0;46;19:15;20;15;35.598;24/09/2025
TOEP;0;46;19:15;20;16;35.554;24/09/2025
TOEP;0;46;19:15;20;17;35.326;24/09/2025
TOEP;0;46;19:15;20;18;35.644;24/09/2025
TOEP;0;46;19:15;20;19;35.328;24/09/2025
TOEP;0;46;19:15;20;20;35.46;24/09/2025
TOEP;0;46;19:15;20;21;35.593;24/09/2025
